('tscsdy44_47', 0.0, 3.6)
('tscsdd46_25', 0.0, 9.725)
('tscsdu44_11', 0.0, 1.65)
('tscsdj31_8', 0.0, 5.275)
('tscsdy23_28', 0.0, 8.125)
('tscsdu47_5', 0.0, 2.425)
('tscsdd24_45', 0.0, 11.95)
('tscsdm36_34', 0.0, 2.725)
('tscsdm08_17', 0.0, 4.825)
('tscsdw14_25', 1.5376447218311605e-12, 5.675)
('tscsdu46_26', 1.5376447218311605e-12, 1.5)
('tscsda39_4', 0.3362846822759491, 3.075)
('tscsdd48_11', 1.4537240288141926, 4.75)
('tscsdy27_9', 1.5487795073950248, 6.05)
('tscsdm33_12', 1.7395375345043289, 5.925)
('tscsdt13_42', 1.903382011256562, 6.575)
('tscsdj30_48', 2.0399693405153569, 6.825)
('tscsdc43_34', 2.0811063387212316, 6.45)
('tscsdt46_28', 2.1488441286076858, 4.975)
('tscsdw05_7', 2.1608968272165936, 3.9)
('tscsdf21_32', 2.2399979683805888, 4.725)
('tscsdi21_28', 2.3376567534540698, 6.675)
('tscsdz42_27', 3.1021335516033002, 5.675)
('tscsdy40_9', 3.3046946815606519, 14.3)
('tscsdt46_99', 3.3109552731530161, 15.5)
('tscsdj43_31', 3.3638487350197344, 7.3)
('tscsdb14_34', 3.4463472868807057, 6.775)
('tscsdo41_6', 3.5264636565517651, 3.7)
('tscsdy27_15', 3.5376573457634986, 6.425)
('tscsdj12_27', 3.5891919155824485, 5.325)
('tscsdm38_50', 3.6345431524286127, 8.675)
('tscsdb14_24', 3.7149983677787399, 5.825)
('tscsdm07_29', 3.7386401096725206, 15.7)
('tscsdf19_39', 3.7437837326177061, 11.0)
('tscsdt46_62', 3.7849151212471397, 5.375)
('tscsdc50_36', 4.0336122320092471, 7.275)
('tscsdp11_2', 4.0365177871073925, 16.7)
('tscsdw35_4', 4.0770544634585857, 7.6)
('tscsdh05_12', 4.1135724531152551, 6.5)
('tscsdb07_24', 4.1365345379399594, 6.925)
('tscsdr21_16', 4.2491819865359659, 7.4)
('tscsdi29_7', 4.2610327504765575, 6.95)
('tscsda14_62', 4.3050750236807538, 9.825)
('tscsdz31_21', 4.3628566212658688, 13.625)
('tscsdv40_9', 4.3909427891902784, 6.725)
('tscsdo24_40', 4.3991016863862242, 6.775)
('tscsdt38_23', 4.4439519656929143, 10.65)
('tscsdu10_6', 4.546672013141448, 5.6)
('tscsdx28_8', 4.5571930359653425, 6.775)
('tscsdo42_38', 4.5659250019109825, 4.775)
('tscsdr16_2', 4.5703464902277471, 15.9)
('tscsdg30_38', 4.5768915231805298, 16.175)
('tscsdt16_21', 4.6016797265829226, 10.975)
('tscsdv42_2', 4.6050712057387937, 16.5)
('tscsdo32_2', 4.6448175316730476, 14.775)
